web-scraper-order	web-scraper-start-url	问题名字	提问时间	提出的问题	提出的问题-href	name	answer
1574231283-197	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Subscriber implementation not subscribing to timestamp?	"#2771
            opened on 29 May by
            theresa95"	Subscriber implementation not subscribing to timestamp?	https://github.com/open62541/open62541/issues/2771		"Hello @theresa95,
Sounds good.
Question 1:

Subscribing application (It is subscribing to 4 hardcoded DataSetFields. The rst field is a DateTime type. So as far as I understand, it should be able to subscribe to the publishing timestamp field.)


Yes, the implementation seems to have a publisher that publishes the dateandtime for every 100ms interval. And also the subscriber should subscribe the same. Your understanding seems to be perfect.


Question 2: So as you can see in the subscriber console, the four VariableNodes are successfully added (first of which is of type DateTime). But it seems like the subscribe application is not able to parse the timestamp withing the NetworkMessage.


I see you misunderstood the console print in the subscriber, because if I'm not wrong you expected a print near the ""Message Receive:"". And it is empty because it is just a print statement in ""UA_ReaderGroup_subscribeCallback"" in /src/pubsub/ua_pubsub.c in line:2392




if you want to see the value of the ""dateandtime"" from the subscriber information model, use the client gui and browse the information model when the subscriber is running. Then you can see the data change. The subscriber implementation doesn't seems to have a UA_server_readValue() API to read the variable value from the information model and display the value in the console print. If you want to read and print in the tutorial application use the UA_server_readValue() API in a separate call back and read repeatedly


Question 3: Also, I do not understand the console output of the publish application. It says that two nodes are not found. Why is that? Which nodes are they?


In the publisher if you browse the information model using the client tool you can find the objects without the parent node. And also it's not mandatory that objects should have a parent node name. Its a optional in modelling rule. That's the reason for this ""Node id not found"" console print. But to my understanding you don't need to worry about this, it means that it won't affect the publisher and subscriber working.


Question 4: I would like to use this subscriber implementation to subscribe to my published sensorvalues. But since the application is not able to subscribe to the timestamp correctly, I will have to solve this issue first.


You don't need to solve anything. It seems to be working fine.


Hope my answer helps.
Thanks,

Merlin"
1574231533-319	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Problem when using multiple DataSetReader	"#2817
            opened on 14 Jun by
            Fischer-Thomas"	Problem when using multiple DataSetReader	https://github.com/open62541/open62541/issues/2817		if(LIST_FIRST(&pConnection->readerGroups)->readersCount == 1) {
1574231880-458	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Event-based Subscriber OPCUA pubsub	"#2890
            opened on 17 Jul by
            canadyre"	Event-based Subscriber OPCUA pubsub	https://github.com/open62541/open62541/issues/2890		"Hi @sohailmushtaq ,

Thanks for the help with that! I've used MQTT so I'll look into that some more.
As for your question, it has worked pretty well as far as I can tell. You just have to use a cross compiler, I usually compile on my desktop and then send to the Raspberry Pi. Also, you have to modify the code to work with 32 bits vs 64, but otherwise it has worked well."
1574231477-282	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Dependencies between CustomDataTypes in different UA_DataTypeArray not supported	"#2808
            opened on 12 Jun by
            TorbenD"	Dependencies between CustomDataTypes in different UA_DataTypeArray not supported	https://github.com/open62541/open62541/issues/2808	jpfr	
1574231391-228	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	UA_server_browse maxrefs	"#2791
            opened on 5 Jun by
            etm"	UA_server_browse maxrefs	https://github.com/open62541/open62541/issues/2791	etm	
1574231601-365	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Subscriber: Using multiple ReaderGroups causes PubSubChannel->regist to fail	"#2839
            opened on 24 Jun by
            Fischer-Thomas"	Subscriber: Using multiple ReaderGroups causes PubSubChannel->regist to fail	https://github.com/open62541/open62541/issues/2839		"Hi @Fischer-Thomas,

We have addressed this issue in PR #2944.

The same has been merged to the master.
Regards

opcua-tsn-team-kalycito"
1574231652-389	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Performance measurement of Client/Server and Pub/Sub on VxWorks	"#2846
            opened on 26 Jun by
            kingalexsylvester"	Performance measurement of Client/Server and Pub/Sub on VxWorks	https://github.com/open62541/open62541/issues/2846		"Hello All:
Here is the implementation. Please feedback.
/*
* This implementation was done to measure the performance of the Publisher
* Subscriber implementation between two nodes on a VxWorks OS environment.
* The application logic is that, sending a counter data from NODE 1 and the
* NODE 2 receives it to compare if it is an incremented value. The same value
* is sent back to NODE 1, now NODE 1 gets the value and increments it by 1 and
* sends it back to NODE 2 where the round-trip measurement is done if it is an
* incremented value. This snippet was verfied with hardwared signal toggle.
*
* Notes: 
* Here both NODE 1 and NODE 2 will be running both Publisher and Subscriber applications
* NODE 1: Will receive the data and increment it by 1 and send to NODE 2
* NODE 2: Receives the data and checks if it is incremented and measurement is done.
*         After which the value is sent back to NODE 1
*/

//Global declerations
struct timespec t1;
unsigned long long newRoundTripTime, maxRoundTripTime, minRoundTripTime;
unsigned long long prevCounterVal = 1;

/*
* Implement the below code snippet in your subscriber function
* that is running on node 2. Since I have used my own subscriber
* implementation, I haven't shared my code sections which might confuse others.
*/
void yourSubscriberFunction()
{

    unsigned long long  counterVal; //the counter from node 1
    struct timespec t2;             //to store the current time
	
	/*
	* store the subscribed counter value to the
	* counterVal variable. Here we have done our own
	* subscriber implementation so I haven't added the
	* code sections which might confuse people.
	*/
    counterVal = *(UA_UInt64 *)dsm->data.keyFrameData.dataSetFields[fieldCount].value.data;

	/*
	* NOTE: The assumption is that round trip value
	* will not exceed more than 1 second. If your application
	* needs it then you go to include the subtraction of sec
	* and nsec seperately.
	*/
   if (prevCounterVal == (counterVal-1))
   {
   	    clock_gettime(CLOCK_REALTIME, &t2);
   	    newRoundTripTime = getTspecDiff(t1, t2);
   	    
   	    if (newRoundTripTime > maxRoundTripTime)
   	    {
   	    	/*
   	    	* View the value using live debug
   	    	* (or)
   	    	* print the value every 10 minutes if
   	    	* profiling is being done for 10M+ cycles
   	    	*/
   	    	maxRoundTripTime = newRoundTripTime;
   	    }
   	    else if (newRoundTripTime < minRoundTripTime)
   	    {
   	    	/*
   	    	* View the value using live debug
   	    	* (or)
   	    	* print the value every 10 minutes if
   	    	* profiling is being done for 10M+ cycles
   	    	*/
   	    	minRoundTripTime = newRoundTripTime;
   	    }
   }
   
   // Call your publish function to send the same value to NODE 1
  yourPublisherFunction(counterVal);

   /*
   * Store the time and counter value for next iteration
   */
   t1 = t2;
   prevCounterVal = counterVal;

}

/*
* This function returns the difference of two time
* values in the order of nano seconds.
* t1: old time
* t2: current time/ future to t1
*/
static unsigned long long getTspecDiff(struct timespec t1, struct timespec t2)
{
	unsigned long long diff = NSEC_TO_SEC * t2.tv_sec + t2.tv_nsec;

	diff = diff - (NSEC_TO_SEC * t1.tv_sec + t1.tv_nsec);
	
	return diff;
}"
1574231477-281	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Dependencies between CustomDataTypes in different UA_DataTypeArray not supported	"#2808
            opened on 12 Jun by
            TorbenD"	Dependencies between CustomDataTypes in different UA_DataTypeArray not supported	https://github.com/open62541/open62541/issues/2808	TorbenD	
1574231340-210	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Updating nodes (deleting and adding nodes) during runtime from dedicated thread	"#2783
            opened on 4 Jun by
            Nik654"	Updating nodes (deleting and adding nodes) during runtime from dedicated thread	https://github.com/open62541/open62541/issues/2783		"Open62541 thread-safe in total, there are some minor things already implemented, but most of the library is not thread-safe.
To overcome this issue, I use the following code for the main loop (C++):
    std::unique_lock<std::remove_reference<decltype(OPCUA_Mutex)>::type> l_opcUA(OPCUA_Mutex, std::defer_lock);
    while (*run) {
      l_opcUA.lock();
      UA_Client_run_iterate(pClient.get(), 10);
      l_opcUA.unlock();
      std::this_thread::yield(); // < This line ensures that a waiting thread is executed
      std::this_thread::sleep_for(std::chrono::microseconds(10));
    }

OPCUA_Mutex is a std::mutex which is shared with the pointer to the OPC UA Client."
1574231800-417	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	OPC UA Pub/Sub over MQTT	"#2865
            opened on 3 Jul by
            canadyre"	OPC UA Pub/Sub over MQTT	https://github.com/open62541/open62541/issues/2865	sohailmushtaq	
